Timestamp,What is your age?,Which nation or region of the UK do you live in?,"The first part of your postcode only, for example SW1A (optional)","Are you currently involved with a youth council, youth group or youth organisation?",What are the top three things you want the government to bring back for young people?,Is there anything else you would bring back that is not on that list?,What is the biggest problem facing young people across the UK today?,"In your own words, why did you choose that for the UK?",What is the biggest problem facing young people across the Commonwealth today?,"In your own words, why did you choose that for the Commonwealth?","Thinking about young people you know, how well is each of these working for young people right now? [Mental health and wellbeing]","Thinking about young people you know, how well is each of these working for young people right now? [Youth services and safe places to go]","Thinking about young people you know, how well is each of these working for young people right now? [Education and curriculum for life]","Thinking about young people you know, how well is each of these working for young people right now? [Jobs, apprenticeships and work experience]","Thinking about young people you know, how well is each of these working for young people right now? [Cost of living and financial security]","Thinking about young people you know, how well is each of these working for young people right now? [Transport and getting around]","Thinking about young people you know, how well is each of these working for young people right now? [Housing and a place to live]","Thinking about young people you know, how well is each of these working for young people right now? [Crime, safety and policing]","Thinking about young people you know, how well is each of these working for young people right now? [Equality, discrimination and racism]","Thinking about young people you know, how well is each of these working for young people right now? [Climate and the environment]","Thinking about young people you know, how well is each of these working for young people right now? [Democracy and youth voice]","Thinking about young people you know, how well is each of these working for young people right now? [Digital life and online safety]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Mental health and wellbeing],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Youth services and safe places to go],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Education and curriculum for life],"How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Jobs, apprenticeships and work experience]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Cost of living and financial security],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Transport and getting around],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Housing and a place to live],"How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Crime, safety and policing]","How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Equality, discrimination and racism]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Climate and the environment],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Democracy and youth voice],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Digital life and online safety],How urgent is each of these for young people over the next twelve months? [Mental health and wellbeing],How urgent is each of these for young people over the next twelve months? [Youth services and safe places to go],How urgent is each of these for young people over the next twelve months? [Education and curriculum for life],"How urgent is each of these for young people over the next twelve months? [Jobs, apprenticeships and work experience]",How urgent is each of these for young people over the next twelve months? [Cost of living and financial security],How urgent is each of these for young people over the next twelve months? [Transport and getting around],How urgent is each of these for young people over the next twelve months? [Housing and a place to live],"How urgent is each of these for young people over the next twelve months? [Crime, safety and policing]","How urgent is each of these for young people over the next twelve months? [Equality, discrimination and racism]",How urgent is each of these for young people over the next twelve months? [Climate and the environment],How urgent is each of these for young people over the next twelve months? [Democracy and youth voice],How urgent is each of these for young people over the next twelve months? [Digital life and online safety],Which of these should the UK push hardest on across the Commonwealth?,"If you could say one thing directly to the Heads of Government, what would it be?",Which of these best describes your gender?,Which of these best describes your ethnic background?,Do you have a disability or a long-term health condition?,Which best describes what you are doing at the moment?,"Have you ever been in care, or are you care experienced?",I have read the privacy notice and I am happy for my answers to be used in this consultation
02/10/2026 16:22:12,16 to 18,South West England,TA1,Yes,Funded open-access youth clubs and youth workers in every area,Proper funding for school counselling.,Transport and getting around,,Climate and the environment,Young people are excluded from decisions in almost every member state.,0,6,6,1,4,3,2,2,8,3,3,6,10,5,7,10,9,3,10,10,8,7,8,7,6,7,6,10,10,7,10,10,7,2,4,2,"Equality, discrimination and racism, Jobs, apprenticeships and work experience",,Male,White,No,In school or college,No,Yes
01/10/2026 18:54:47,13 to 15,North West England,,No,"Restored further education and adult skills funding, and lower tuition fees, Free or capped bus travel for under-25s, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",,Housing and a place to live,,Mental health and wellbeing,Young people are excluded from decisions in almost every member state.,4,2,5,5,6,2,5,6,4,4,2,5,10,4,7,10,7,8,10,10,9,9,9,5,9,8,7,8,7,5,6,10,8,9,4,4,"Jobs, apprenticeships and work experience","Climate adaptation money needs to reach communities, not consultants.",Female,White,No,In school or college,No,Yes
01/10/2026 15:54:28,16 to 18,South West England,EX1,Yes,"Restored further education and adult skills funding, and lower tuition fees, Local libraries and community spaces with longer opening hours",,"Jobs, apprenticeships and work experience",The support exists on paper but nobody can actually access it.,Youth services and safe places to go,,5,,,5,,3,,,,6,0,,8,,,10,8,,,9,,,,10,,5,4,,,,,8,,,6,,"Climate and the environment, Jobs, apprenticeships and work experience",,Male,"Black, Black British, Caribbean or African",No,In school or college,No,Yes
01/10/2026 19:51:30,13 to 15,East Midlands,NG1,No,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Independent careers advice in every school (a Connexions style service), Free school meals for more pupils, and holiday food provision",,Mental health and wellbeing,,Mental health and wellbeing,,2,4,7,1,0,3,4,4,1,6,3,8,9,5,10,9,10,8,8,7,4,9,9,8,8,6,8,10,5,5,7,3,10,6,8,6,"Cost of living and financial security, Jobs, apprenticeships and work experience",,Female,White,No,In school or college,No,Yes
30/09/2026 18:44:03,13 to 15,North East England,TS1,Yes,Cheaper rail travel and a wider young persons railcard,,Mental health and wellbeing,,Climate and the environment,,5,1,5,4,3,3,3,4,4,3,6,4,8,10,8,10,9,10,10,6,8,7,5,7,9,9,9,5,8,8,8,3,7,5,4,6,"Cost of living and financial security, Education and curriculum for life",You measure success in GDP. Measure it in whether an 18-year-old can see a future where they live.,Female,White,No,Working,No,Yes
30/09/2026 13:03:00,22 to 25,East Midlands,NG7,Yes,"A school nurse and a trained counsellor in every school, Independent careers advice in every school (a Connexions style service)",,Cost of living and financial security,,Climate and the environment,There are not enough jobs for the number of graduates being produced.,0,3,6,4,0,5,3,3,3,0,5,8,8,10,10,10,9,7,7,8,10,7,8,7,8,10,7,10,8,5,6,8,9,6,3,8,"Equality, discrimination and racism, Cost of living and financial security",,Female,White,No,In school or college,No,Yes
02/10/2026 12:04:18,16 to 18,East Midlands,NG1,Prefer not to say,"Free or capped bus travel for under-25s, Independent careers advice in every school (a Connexions style service), Restored further education and adult skills funding, and lower tuition fees",,Education and curriculum for life,,Climate and the environment,Youth unemployment across the Commonwealth is the common thread in all of this.,4,4,6,3,5,3,2,7,6,1,1,7,8,9,8,5,10,9,8,7,7,5,10,9,10,6,8,4,9,8,9,7,9,4,4,10,Climate and the environment,Make the commitments measurable and publish who missed them.,Male,Mixed or multiple ethnic groups,No,At university,No,Yes
02/10/2026 11:24:16,16 to 18,South East England,GU1,No,"Guaranteed work experience placements for every pupil, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Community sports facilities, playing fields and free swimming",Cheaper driving lessons and tests for young people in rural areas.,"Crime, safety and policing",,Transport and getting around,,0,4,7,1,4,4,4,6,6,4,2,7,10,10,7,10,10,9,8,6,8,9,10,10,10,7,6,7,7,9,7,10,7,6,4,10,"Cost of living and financial security, Equality, discrimination and racism",,Male,Mixed or multiple ethnic groups,No,At university,No,Yes
02/10/2026 17:38:30,13 to 15,London,,Yes,"Free or capped bus travel for under-25s, Independent careers advice in every school (a Connexions style service)",Music lessons that are not only for people who can pay.,Cost of living and financial security,,Housing and a place to live,Young people are excluded from decisions in almost every member state.,5,3,0,7,3,1,4,4,3,3,3,5,4,9,6,8,8,8,8,7,5,7,4,5,10,4,9,10,10,10,10,9,5,8,3,6,"Jobs, apprenticeships and work experience, Mental health and wellbeing","Apprenticeships that pay less than rent are not opportunities, they are a trap.",Male,White,No,At university,No,Yes
01/10/2026 12:30:57,16 to 18,West Midlands,B29,Yes,"Community sports facilities, playing fields and free swimming",Proper funding for school counselling.,"Equality, discrimination and racism",,Cost of living and financial security,Online access decides who gets opportunities and it is very unequal.,,6,6,6,0,,3,7,6,,,,,,,9,6,,,9,,,,,,4,,,9,,,,7,,9,,Climate and the environment,Girls across the Commonwealth are still leaving education early. That should embarrass every leader in the room.,Male,White,No,In school or college,No,Yes
02/10/2026 12:41:35,16 to 18,North West England,BB1,No,"Free or capped bus travel for under-25s, Funded national youth voice structures (a British Youth Council style body), Guaranteed work experience placements for every pupil",,Mental health and wellbeing,People my age are scared on public transport and nobody talks about it.,"Jobs, apprenticeships and work experience",Corruption means money meant for young people does not reach us.,4,1,6,6,1,3,3,5,4,4,3,7,9,7,10,9,8,4,9,6,10,10,6,9,8,8,6,9,10,8,7,7,7,6,3,9,"Climate and the environment, Education and curriculum for life",,Female,White,No,At university,No,Yes
01/10/2026 20:26:55,13 to 15,London,W1A,No,"Arts, music and drama in the curriculum, and free or low-cost music tuition, Independent careers advice in every school (a Connexions style service)",Proper funding for school counselling.,Cost of living and financial security,My school had one careers adviser for eight hundred students.,"Crime, safety and policing",,5,5,2,4,2,0,6,0,4,1,4,4,7,8,9,10,9,8,7,9,10,4,9,7,8,6,5,8,5,10,6,7,8,5,4,3,"Climate and the environment, Mental health and wellbeing",,Female,Prefer not to say,No,Working,No,Yes
03/10/2026 09:19:31,16 to 18,London,,No,"Funded open-access youth clubs and youth workers in every area, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Cheaper rail travel and a wider young persons railcard",Music lessons that are not only for people who can pay.,Mental health and wellbeing,People my age are scared on public transport and nobody talks about it.,"Jobs, apprenticeships and work experience",,2,2,6,6,5,2,3,4,6,4,3,5,9,9,10,9,8,9,9,6,6,5,6,9,10,8,9,7,8,6,9,8,8,6,8,4,"Crime, safety and policing, Jobs, apprenticeships and work experience",,Female,"Black, Black British, Caribbean or African",Yes,In school or college,No,Yes
01/10/2026 20:49:42,13 to 15,Yorkshire and the Humber,,Yes,"Funded open-access youth clubs and youth workers in every area, Arts, music and drama in the curriculum, and free or low-cost music tuition, Independent careers advice in every school (a Connexions style service)",Music lessons that are not only for people who can pay.,Cost of living and financial security,My school had one careers adviser for eight hundred students.,"Jobs, apprenticeships and work experience",Corruption means money meant for young people does not reach us.,5,3,5,6,4,5,1,6,3,0,5,7,7,8,10,9,9,7,9,7,6,7,3,9,10,7,5,8,9,6,7,5,7,5,10,8,"Jobs, apprenticeships and work experience, Democracy and youth voice",,Female,White,No,Working,No,Yes
02/10/2026 17:01:40,16 to 18,Wales,LL30,No,"Arts, music and drama in the curriculum, and free or low-cost music tuition, Funded open-access youth clubs and youth workers in every area, A school nurse and a trained counsellor in every school",,Transport and getting around,,Democracy and youth voice,,1,3,4,2,3,7,1,4,7,5,5,7,8,7,10,10,9,6,10,10,10,9,7,10,10,6,9,5,10,6,5,6,5,10,6,8,"Crime, safety and policing, Mental health and wellbeing",,Male,White,No,In school or college,Prefer not to say,Yes
04/10/2026 12:45:52,16 to 18,Scotland,,Yes,"Restored further education and adult skills funding, and lower tuition fees, Funded open-access youth clubs and youth workers in every area, A school nurse and a trained counsellor in every school",,Cost of living and financial security,Everything costs more and nothing about young people’s pay has changed.,Digital life and online safety,Youth unemployment across the Commonwealth is the common thread in all of this.,6,1,3,4,7,3,5,4,9,4,1,6,10,7,10,9,10,4,4,7,10,10,8,7,9,6,10,8,6,10,8,6,3,8,6,3,"Education and curriculum for life, Climate and the environment","If you want us to trust institutions, give us something to trust. Fund youth services properly and keep them open.",Male,White,No,At university,No,Yes
03/10/2026 12:00:08,16 to 18,North West England,CH1,Yes,Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study,,Youth services and safe places to go,,Democracy and youth voice,Climate change is already displacing people my age in Pacific member states.,2,0,1,3,4,2,0,5,7,3,4,6,7,6,10,7,5,5,6,9,8,6,5,6,7,4,8,8,8,7,9,6,9,5,4,6,"Jobs, apprenticeships and work experience, Democracy and youth voice",Commonwealth mobility should mean something. Let young people study and work across member states without impossible visa costs.,Female,Asian or Asian British,No,Apprenticeship or training,No,Yes
03/10/2026 11:30:54,16 to 18,Scotland,,Yes,"Funded open-access youth clubs and youth workers in every area, Free or capped bus travel for under-25s, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study","Youth centres open at weekends, not just weekdays.",Climate and the environment,,"Crime, safety and policing",,5,6,4,6,5,7,3,4,1,3,3,3,10,8,8,9,9,5,9,7,10,7,5,10,7,7,6,10,9,8,7,7,6,5,6,5,"Crime, safety and policing, Education and curriculum for life",,Male,Prefer not to say,No,In school or college,No,Yes
01/10/2026 16:22:05,16 to 18,East of England,,No,"Restored further education and adult skills funding, and lower tuition fees, Free school meals for more pupils, and holiday food provision, Funded open-access youth clubs and youth workers in every area",,Housing and a place to live,Everything costs more and nothing about young people’s pay has changed.,"Jobs, apprenticeships and work experience",,,0,4,2,1,3,,2,7,5,,3,8,,10,6,,,,,,8,,,,8,8,,10,,,9,,7,7,6,"Education and curriculum for life, Climate and the environment",Commonwealth mobility should mean something. Let young people study and work across member states without impossible visa costs.,Female,White,No,At university,No,Yes
01/10/2026 09:23:30,16 to 18,Scotland,,Yes,"Restored further education and adult skills funding, and lower tuition fees, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",Free swimming for under-18s.,Mental health and wellbeing,,"Jobs, apprenticeships and work experience",There are not enough jobs for the number of graduates being produced.,4,5,2,5,0,5,4,4,5,7,6,8,10,5,7,8,7,7,5,9,9,8,5,10,10,9,8,10,7,3,5,10,7,5,7,6,"Equality, discrimination and racism, Cost of living and financial security",We cannot build a future in countries we cannot afford to live in. Housing is the whole argument.,Female,Asian or Asian British,No,Working,No,Yes
03/10/2026 19:18:14,19 to 21,London,HA1,Yes,"Community sports facilities, playing fields and free swimming, Cheaper rail travel and a wider young persons railcard, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",Cheaper driving lessons and tests for young people in rural areas.,Cost of living and financial security,,Climate and the environment,,,1,,5,,4,4,,,0,,,7,,,,,,5,,,,,9,10,,,,,,8,,3,3,9,,"Climate and the environment, Crime, safety and policing",Every promise made about climate finance has a deadline that falls after you have all left office. Bring the deadlines forward.,Male,"Black, Black British, Caribbean or African",No,At university,No,Yes
04/10/2026 18:12:47,16 to 18,Northern Ireland,BT15,No,"Funded open-access youth clubs and youth workers in every area, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Funded national youth voice structures (a British Youth Council style body)",Cheaper driving lessons and tests for young people in rural areas.,Cost of living and financial security,,"Equality, discrimination and racism",,3,2,7,7,1,6,3,4,5,0,3,10,6,10,10,9,10,5,8,9,10,9,4,5,8,9,5,10,8,8,9,8,10,5,5,6,"Crime, safety and policing, Mental health and wellbeing",We are tired of consultations that go nowhere. Publish what you did with this one.,Male,"Black, Black British, Caribbean or African",Yes,At university,Yes,Yes
03/10/2026 10:15:52,13 to 15,East Midlands,DE1,No,Independent careers advice in every school (a Connexions style service),Free swimming for under-18s.,Cost of living and financial security,,Climate and the environment,Girls are still being taken out of education early in too many countries.,2,1,3,6,5,7,2,5,8,5,6,7,8,4,10,5,8,7,9,7,6,9,6,5,9,7,7,10,10,7,8,7,10,5,6,7,"Jobs, apprenticeships and work experience, Climate and the environment",,Male,Asian or Asian British,No,In school or college,No,Yes
02/10/2026 10:52:36,16 to 18,East of England,AL1,Prefer not to say,"Free school meals for more pupils, and holiday food provision, Arts, music and drama in the curriculum, and free or low-cost music tuition, Restored further education and adult skills funding, and lower tuition fees",Free school transport past the age of 16.,Housing and a place to live,,Climate and the environment,,4,4,7,2,4,5,5,2,1,5,5,3,9,7,5,10,10,8,8,7,9,7,5,7,8,7,10,8,6,7,8,5,8,3,9,9,"Cost of living and financial security, Mental health and wellbeing",,Female,White,No,Working,No,Yes
03/10/2026 10:50:42,13 to 15,South West England,SN1,Yes,"Restored further education and adult skills funding, and lower tuition fees, Funded open-access youth clubs and youth workers in every area, Funded national youth voice structures (a British Youth Council style body)","Youth centres open at weekends, not just weekdays.",Cost of living and financial security,Apprenticeships near me pay so little that you need parents who can support you.,Cost of living and financial security,,0,0,7,7,4,5,6,6,3,4,6,4,9,7,8,6,10,9,10,10,8,10,7,6,4,7,9,9,8,10,7,9,10,7,6,10,"Cost of living and financial security, Education and curriculum for life",,Female,White,No,In school or college,No,Yes
04/10/2026 17:54:56,16 to 18,Northern Ireland,,No,"A school nurse and a trained counsellor in every school, Guaranteed work experience placements for every pupil, Funded open-access youth clubs and youth workers in every area",Free school transport past the age of 16.,Cost of living and financial security,,Climate and the environment,,5,8,8,0,3,5,0,4,5,6,4,7,7,8,10,7,10,8,10,9,8,8,6,5,6,9,5,7,10,9,3,8,8,8,2,6,"Digital life and online safety, Democracy and youth voice",,Female,White,No,At university,No,Yes
02/10/2026 18:50:21,22 to 25,South East England,TN1,Prefer not to say,Free or capped bus travel for under-25s,Cheaper driving lessons and tests for young people in rural areas.,Housing and a place to live,,Climate and the environment,,5,6,4,2,4,2,4,4,9,5,3,2,8,7,10,10,6,5,8,6,6,8,4,9,10,5,8,9,7,7,9,8,9,6,9,10,"Education and curriculum for life, Equality, discrimination and racism",,Male,Prefer not to say,No,Working,No,Yes
02/10/2026 12:10:26,16 to 18,South East England,PO1,No,"Guaranteed work experience placements for every pupil, Funded open-access youth clubs and youth workers in every area",Free school transport past the age of 16.,Cost of living and financial security,,"Jobs, apprenticeships and work experience",,2,3,6,6,6,4,2,0,1,4,4,7,7,1,10,7,10,9,9,2,6,7,10,8,5,5,8,7,10,9,8,8,8,7,8,9,"Equality, discrimination and racism, Climate and the environment","If the Commonwealth means anything, it should mean a young person in Fiji and a young person in Wales both get heard.",Female,Mixed or multiple ethnic groups,No,In school or college,No,Yes
03/10/2026 18:13:39,19 to 21,South West England,TQ1,Yes,"Community sports facilities, playing fields and free swimming, Funded open-access youth clubs and youth workers in every area, Free school meals for more pupils, and holiday food provision",Music lessons that are not only for people who can pay.,Housing and a place to live,Apprenticeships near me pay so little that you need parents who can support you.,"Jobs, apprenticeships and work experience",,2,5,1,2,2,2,4,5,4,5,5,2,10,7,10,6,10,7,10,6,8,6,4,4,9,10,8,10,10,8,5,2,6,8,2,9,Education and curriculum for life,,Male,White,No,At university,No,Yes
02/10/2026 11:57:34,Over 25,South West England,TA1,Yes,"Free or capped bus travel for under-25s, Free school meals for more pupils, and holiday food provision, Funded open-access youth clubs and youth workers in every area",,Mental health and wellbeing,,"Jobs, apprenticeships and work experience",,1,5,6,2,2,5,2,6,4,3,4,9,10,10,6,8,8,4,9,8,7,6,7,10,6,7,8,10,10,10,8,5,9,7,8,3,"Education and curriculum for life, Climate and the environment",Fund the youth workers. They are the only adults some of us actually trust.,Female,White,No,In school or college,No,Yes
02/10/2026 14:27:55,22 to 25,South East England,,Yes,"Funded open-access youth clubs and youth workers in every area, Community sports facilities, playing fields and free swimming, Guaranteed work experience placements for every pupil",,Mental health and wellbeing,There is nowhere to go in the evening since the youth centre closed.,Climate and the environment,Corruption means money meant for young people does not reach us.,2,3,2,7,3,0,3,5,6,3,5,7,8,5,10,6,6,9,4,10,7,7,4,9,9,5,7,6,10,8,7,4,7,6,3,10,"Education and curriculum for life, Equality, discrimination and racism",,Female,White,No,"Not in education, employment or training",Yes,Yes
04/10/2026 15:26:01,16 to 18,East of England,LU1,Prefer not to say,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Independent careers advice in every school (a Connexions style service)",Free school transport past the age of 16.,"Jobs, apprenticeships and work experience",The support exists on paper but nobody can actually access it.,Mental health and wellbeing,,2,2,5,6,6,4,2,8,4,7,5,2,7,7,10,7,8,6,6,9,8,10,5,8,9,8,8,9,10,10,10,10,4,4,3,9,Education and curriculum for life,"Youth unemployment is not a young person problem, it is an economy problem. Stop framing it as our failure.",Male,Asian or Asian British,Yes,At university,Prefer not to say,Yes
04/10/2026 19:56:20,16 to 18,North East England,SR2,No,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Funded open-access youth clubs and youth workers in every area",,Mental health and wellbeing,,Climate and the environment,Online access decides who gets opportunities and it is very unequal.,0,4,4,3,0,5,4,5,6,2,1,4,10,7,10,6,10,5,10,9,8,10,9,10,8,9,7,5,10,8,10,5,10,5,3,4,"Jobs, apprenticeships and work experience, Education and curriculum for life",,Female,Mixed or multiple ethnic groups,No,At university,No,Yes
05/10/2026 11:40:04,19 to 21,North East England,,Yes,"Free or capped bus travel for under-25s, Independent careers advice in every school (a Connexions style service)",,Cost of living and financial security,Everything costs more and nothing about young people’s pay has changed.,Education and curriculum for life,Young people are excluded from decisions in almost every member state.,2,8,5,4,0,4,3,4,5,4,5,7,10,10,10,6,10,6,7,7,5,8,6,10,10,10,5,10,10,4,7,7,6,3,9,8,"Equality, discrimination and racism, Education and curriculum for life",,Female,White,No,In school or college,No,Yes
05/10/2026 18:27:08,16 to 18,North West England,CA1,No,"Independent careers advice in every school (a Connexions style service), Free or capped bus travel for under-25s",,"Jobs, apprenticeships and work experience",,Education and curriculum for life,,0,2,3,6,6,3,5,3,4,5,5,3,10,8,8,8,6,7,9,7,4,10,3,10,10,9,10,9,10,9,10,10,7,10,5,8,"Education and curriculum for life, Jobs, apprenticeships and work experience",,Female,White,No,At university,No,Yes
05/10/2026 13:53:06,19 to 21,South East England,,No,"Restored further education and adult skills funding, and lower tuition fees, Funded open-access youth clubs and youth workers in every area, Guaranteed work experience placements for every pupil","Youth centres open at weekends, not just weekdays.",Mental health and wellbeing,You cannot plan a future when you cannot afford anywhere to live.,Education and curriculum for life,,1,4,1,7,4,7,3,1,8,7,5,1,8,6,10,6,10,5,7,6,9,5,6,7,7,7,5,9,9,7,9,7,4,6,9,4,"Digital life and online safety, Equality, discrimination and racism","Education across the Commonwealth should prepare us for the jobs that will exist, not the ones that did.",Female,White,Prefer not to say,In school or college,No,Yes
03/10/2026 19:40:25,13 to 15,North West England,,No,"Community sports facilities, playing fields and free swimming, Arts, music and drama in the curriculum, and free or low-cost music tuition, Funded open-access youth clubs and youth workers in every area",Proper funding for school counselling.,Housing and a place to live,,"Equality, discrimination and racism",,4,3,4,7,1,2,3,6,5,5,5,8,10,8,6,7,10,9,8,8,8,7,8,7,10,4,9,9,8,4,6,4,7,3,5,6,"Democracy and youth voice, Housing and a place to live","Apprenticeships that pay less than rent are not opportunities, they are a trap.",Male,Asian or Asian British,No,In school or college,No,Yes
04/10/2026 16:04:51,16 to 18,Wales,,Yes,"Independent careers advice in every school (a Connexions style service), A school nurse and a trained counsellor in every school, Arts, music and drama in the curriculum, and free or low-cost music tuition","Youth centres open at weekends, not just weekdays.",Cost of living and financial security,,Mental health and wellbeing,,2,6,5,0,2,3,0,6,4,8,1,5,5,7,9,10,10,7,9,8,7,8,7,8,10,10,7,5,10,9,9,8,5,6,4,10,"Jobs, apprenticeships and work experience",,Female,Asian or Asian British,No,In school or college,No,Yes
05/10/2026 09:02:39,Under 13,South West England,BS8,No,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, A school nurse and a trained counsellor in every school",Cheaper driving lessons and tests for young people in rural areas.,Mental health and wellbeing,,Education and curriculum for life,,7,5,5,1,5,3,4,7,6,2,2,7,8,5,10,7,9,9,10,5,9,8,3,9,10,7,6,5,10,10,8,8,10,10,5,6,Climate and the environment,,Female,White,No,Working,No,Yes
05/10/2026 14:59:17,22 to 25,London,BR1,Yes,"Free or capped bus travel for under-25s, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Cheaper rail travel and a wider young persons railcard",,"Jobs, apprenticeships and work experience",,Cost of living and financial security,,3,0,1,2,6,4,3,4,7,5,7,0,7,7,5,9,8,6,6,10,10,10,4,6,9,9,8,7,6,4,8,8,6,10,5,9,"Education and curriculum for life, Cost of living and financial security",,Female,"Black, Black British, Caribbean or African",No,At university,No,Yes
05/10/2026 16:06:47,22 to 25,East of England,IP1,No,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Free or capped bus travel for under-25s",,Mental health and wellbeing,,Education and curriculum for life,Online access decides who gets opportunities and it is very unequal.,6,1,8,6,3,0,0,3,4,5,6,8,8,6,8,9,6,6,8,7,6,10,10,5,3,7,4,10,6,5,9,7,10,4,5,10,"Jobs, apprenticeships and work experience, Climate and the environment",,Female,White,No,Working,No,Yes
04/10/2026 14:24:46,Over 25,South West England,,No,A school nurse and a trained counsellor in every school,Proper funding for school counselling.,Education and curriculum for life,,Democracy and youth voice,,0,4,6,6,8,4,5,10,3,1,3,4,7,5,8,5,9,5,8,5,8,10,8,8,7,8,4,7,10,3,7,8,4,7,5,5,"Equality, discrimination and racism",,Female,White,No,Prefer not to say,No,Yes
05/10/2026 20:06:16,16 to 18,East of England,,No,"Funded national youth voice structures (a British Youth Council style body), Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Community sports facilities, playing fields and free swimming",Cheaper driving lessons and tests for young people in rural areas.,Climate and the environment,,Democracy and youth voice,,,,,4,2,5,,,,,,,8,9,,,8,,,,,,6,,,6,,10,10,,,,,4,,2,"Climate and the environment, Transport and getting around",,Male,Mixed or multiple ethnic groups,No,At university,No,Yes
05/10/2026 20:18:34,13 to 15,East of England,,Prefer not to say,"Funded open-access youth clubs and youth workers in every area, Arts, music and drama in the curriculum, and free or low-cost music tuition",,Mental health and wellbeing,,Transport and getting around,,4,4,2,10,2,8,3,3,5,4,3,9,10,4,10,8,10,7,10,7,6,8,4,4,6,7,6,8,6,10,9,8,6,6,6,7,"Equality, discrimination and racism, Education and curriculum for life",Give us votes at 16 and watch how quickly politics starts taking young people seriously.,Female,White,Yes,At university,No,Yes
04/10/2026 18:37:29,13 to 15,Gibraltar,GX11,Yes,A school nurse and a trained counsellor in every school,,Cost of living and financial security,You cannot plan a future when you cannot afford anywhere to live.,"Jobs, apprenticeships and work experience",,1,3,0,5,2,2,7,8,4,5,3,7,8,6,10,8,6,8,8,8,9,8,6,9,7,9,8,8,6,8,6,10,4,2,9,9,"Education and curriculum for life, Climate and the environment",,Female,"Black, Black British, Caribbean or African",No,Working,No,Yes
04/10/2026 17:00:37,16 to 18,North East England,,No,"Sure Start style family and early years centres, A school nurse and a trained counsellor in every school, Community sports facilities, playing fields and free swimming",,Housing and a place to live,My school had one careers adviser for eight hundred students.,"Jobs, apprenticeships and work experience",There are not enough jobs for the number of graduates being produced.,6,3,6,3,0,6,4,7,1,2,6,5,8,6,9,10,10,6,10,7,9,7,9,8,4,6,6,8,8,8,10,10,8,5,4,3,"Democracy and youth voice, Education and curriculum for life",,Male,White,Yes,At university,No,Yes
04/10/2026 12:39:01,13 to 15,West Midlands,HR1,No,"Free school meals for more pupils, and holiday food provision, Cheaper rail travel and a wider young persons railcard",,Mental health and wellbeing,,Education and curriculum for life,Corruption means money meant for young people does not reach us.,4,5,4,5,5,5,7,6,3,4,4,3,9,6,10,8,8,7,9,9,10,10,10,9,10,7,6,7,9,7,9,9,7,6,5,10,"Housing and a place to live, Education and curriculum for life",,Male,"Black, Black British, Caribbean or African",No,Prefer not to say,No,Yes
05/10/2026 15:55:49,13 to 15,East of England,,No,"Restored further education and adult skills funding, and lower tuition fees, Local libraries and community spaces with longer opening hours, Funded open-access youth clubs and youth workers in every area",,"Jobs, apprenticeships and work experience",,"Jobs, apprenticeships and work experience",Girls are still being taken out of education early in too many countries.,2,5,3,1,0,3,5,0,6,3,5,3,9,5,6,9,8,7,8,10,5,10,5,10,9,7,4,10,6,5,10,5,5,7,9,4,"Education and curriculum for life, Mental health and wellbeing",,Female,"Black, Black British, Caribbean or African",Prefer not to say,"Not in education, employment or training",No,Yes
06/10/2026 16:53:09,22 to 25,Scotland,G12,No,"Funded open-access youth clubs and youth workers in every area, Free or capped bus travel for under-25s, Local libraries and community spaces with longer opening hours",,Cost of living and financial security,,"Equality, discrimination and racism",,6,0,0,7,1,3,0,8,6,2,6,3,6,5,8,6,9,5,8,6,8,8,7,8,10,5,6,9,9,10,7,6,7,7,3,2,"Education and curriculum for life, Transport and getting around",,Male,"Black, Black British, Caribbean or African",No,At university,No,Yes
